message_id,channel_name,image_path,category,detected_objects,num_detections,max_confidence,detections_json
21,CheMed123,data\raw\images\CheMed123\21.jpg,other,bird,1,0.2526,"[{'class': 'bird', 'confidence': 0.2525572180747986, 'bbox': [688.147705078125, 362.201416015625, 786.7785034179688, 377.78216552734375]}]"
22,CheMed123,data\raw\images\CheMed123\22.jpg,other,stop sign,1,0.2775,"[{'class': 'stop sign', 'confidence': 0.2775057554244995, 'bbox': [93.78785705566406, 141.28897094726562, 251.88888549804688, 298.7702941894531]}]"
23,CheMed123,data\raw\images\CheMed123\23.jpg,product_display,cell phone,1,0.6107,"[{'class': 'cell phone', 'confidence': 0.6106981039047241, 'bbox': [484.6922302246094, 281.57470703125, 707.8577880859375, 595.732666015625]}]"
25,CheMed123,data\raw\images\CheMed123\25.jpg,promotional,"cell phone, person",2,0.8613,"[{'class': 'cell phone', 'confidence': 0.8613102436065674, 'bbox': [466.7837219238281, 158.56838989257812, 777.9821166992188, 624.7767944335938]}, {'class': 'person', 'confidence': 0.6283656358718872, 'bbox': [313.88140869140625, 466.50286865234375, 862.454345703125, 786.8994140625]}]"
26,CheMed123,data\raw\images\CheMed123\26.jpg,promotional,"person, cup, book, book",4,0.8276,"[{'class': 'person', 'confidence': 0.8275557160377502, 'bbox': [1.714111328125, 113.360107421875, 530.21923828125, 687.920166015625]}, {'class': 'cup', 'confidence': 0.4267366826534271, 'bbox': [719.478515625, 4.8861083984375, 1275.591064453125, 727.99267578125]}, {'class': 'book', 'confidence': 0.3177131712436676, 'bbox': [20.84246826171875, 282.3812255859375, 997.355712890625, 786.17919921875]}, {'class': 'book', 'confidence': 0.31305086612701416, 'bbox': [16.299896240234375, 272.3961181640625, 1015.4136962890625, 1006.3077392578125]}]"
27,CheMed123,data\raw\images\CheMed123\27.jpg,other,,0,0.0,[]
29,CheMed123,data\raw\images\CheMed123\29.jpg,lifestyle,"person, surfboard, person, person",4,0.6185,"[{'class': 'person', 'confidence': 0.6185224652290344, 'bbox': [6.02606201171875, 60.858612060546875, 616.0000610351562, 1041.597412109375]}, {'class': 'surfboard', 'confidence': 0.5944799780845642, 'bbox': [5.8128662109375, 548.3811645507812, 617.3494873046875, 1004.6292114257812]}, {'class': 'person', 'confidence': 0.527970552444458, 'bbox': [0.0, 62.66412353515625, 435.18463134765625, 994.8016967773438]}, {'class': 'person', 'confidence': 0.2781943380832672, 'bbox': [99.48236083984375, 541.57763671875, 619.0364990234375, 1061.1553955078125]}]"
3,CheMed123,data\raw\images\CheMed123\3.jpg,other,,0,0.0,[]
30,CheMed123,data\raw\images\CheMed123\30.jpg,lifestyle,person,1,0.4139,"[{'class': 'person', 'confidence': 0.4139040410518646, 'bbox': [197.50460815429688, 104.21204376220703, 391.5433044433594, 768.2720947265625]}]"
31,CheMed123,data\raw\images\CheMed123\31.jpg,product_display,"bottle, bottle, bottle, bottle, bottle, bottle, bottle, bottle, bottle, bottle, bottle",11,0.5125,"[{'class': 'bottle', 'confidence': 0.5125073790550232, 'bbox': [399.11383056640625, 509.35516357421875, 445.13507080078125, 607.5486450195312]}, {'class': 'bottle', 'confidence': 0.4973132312297821, 'bbox': [501.326171875, 452.0557861328125, 542.082763671875, 548.573974609375]}, {'class': 'bottle', 'confidence': 0.43496695160865784, 'bbox': [466.9771423339844, 586.0543823242188, 507.9351806640625, 657.8576049804688]}, {'class': 'bottle', 'confidence': 0.3880819082260132, 'bbox': [435.7362976074219, 530.316162109375, 483.3214416503906, 636.662353515625]}, {'class': 'bottle', 'confidence': 0.3880271315574646, 'bbox': [494.27728271484375, 577.9761962890625, 536.5746459960938, 673.2564697265625]}, {'class': 'bottle', 'confidence': 0.38319599628448486, 'bbox': [574.7122802734375, 374.29449462890625, 605.7337646484375, 462.2900390625]}, {'class': 'bottle', 'confidence': 0.37693241238594055, 'bbox': [376.58746337890625, 287.26513671875, 446.08209228515625, 484.90576171875]}, {'class': 'bottle', 'confidence': 0.3327511250972748, 'bbox': [633.555908203125, 510.85430908203125, 666.5147705078125, 594.4384155273438]}, {'class': 'bottle', 'confidence': 0.2785998582839966, 'bbox': [585.3167724609375, 522.6112060546875, 614.4359130859375, 597.0570068359375]}, {'class': 'bottle', 'confidence': 0.2762432098388672, 'bbox': [610.6110229492188, 513.413818359375, 638.1526489257812, 604.94384765625]}, {'class': 'bottle', 'confidence': 0.2743058502674103, 'bbox': [601.2158813476562, 390.3651428222656, 631.6747436523438, 446.5225524902344]}]"
32,CheMed123,data\raw\images\CheMed123\32.jpg,lifestyle,person,1,0.5882,"[{'class': 'person', 'confidence': 0.5881935954093933, 'bbox': [485.5169677734375, 687.699951171875, 539.6732177734375, 845.5115966796875]}]"
33,CheMed123,data\raw\images\CheMed123\33.jpg,other,"orange, orange, book",3,0.6712,"[{'class': 'orange', 'confidence': 0.6712217926979065, 'bbox': [747.03125, 601.203857421875, 973.5146484375, 787.793212890625]}, {'class': 'orange', 'confidence': 0.5760761499404907, 'bbox': [758.354736328125, 645.7760009765625, 1172.245849609375, 913.4381103515625]}, {'class': 'book', 'confidence': 0.2715933322906494, 'bbox': [319.760009765625, 352.50262451171875, 997.8533935546875, 898.5756225585938]}]"
34,CheMed123,data\raw\images\CheMed123\34.jpg,other,,0,0.0,[]
38,CheMed123,data\raw\images\CheMed123\38.jpg,other,,0,0.0,[]
39,CheMed123,data\raw\images\CheMed123\39.jpg,other,"mouse, mouse, mouse, mouse, mouse, mouse, mouse, mouse",8,0.9114,"[{'class': 'mouse', 'confidence': 0.9113694429397583, 'bbox': [256.510498046875, 373.13543701171875, 401.0428466796875, 538.3941040039062]}, {'class': 'mouse', 'confidence': 0.9018736481666565, 'bbox': [475.076171875, 484.85382080078125, 672.2099609375, 621.2550659179688]}, {'class': 'mouse', 'confidence': 0.8929611444473267, 'bbox': [441.95660400390625, 147.57998657226562, 590.3256225585938, 296.4864196777344]}, {'class': 'mouse', 'confidence': 0.6237630844116211, 'bbox': [145.28128051757812, 171.5953369140625, 319.72918701171875, 301.8233947753906]}, {'class': 'mouse', 'confidence': 0.5940195918083191, 'bbox': [476.3734130859375, 296.99688720703125, 673.1160888671875, 423.71649169921875]}, {'class': 'mouse', 'confidence': 0.5546780228614807, 'bbox': [256.63226318359375, 247.44876098632812, 436.0953369140625, 389.7943420410156]}, {'class': 'mouse', 'confidence': 0.5261480212211609, 'bbox': [0.0, 329.031494140625, 214.93223571777344, 419.9832763671875]}, {'class': 'mouse', 'confidence': 0.41445085406303406, 'bbox': [810.820068359375, 470.4910888671875, 972.3828125, 638.7969970703125]}]"
40,CheMed123,data\raw\images\CheMed123\40.jpg,lifestyle,"person, person, person, person, person, person, person, person, person, person",10,0.7191,"[{'class': 'person', 'confidence': 0.7191462516784668, 'bbox': [299.2171630859375, 282.6399230957031, 541.6199951171875, 525.0164794921875]}, {'class': 'person', 'confidence': 0.6743713617324829, 'bbox': [1139.336669921875, 180.2026824951172, 1199.7376708984375, 614.7714233398438]}, {'class': 'person', 'confidence': 0.6338374614715576, 'bbox': [485.3212585449219, 240.3676300048828, 621.814453125, 522.0888061523438]}, {'class': 'person', 'confidence': 0.5978040099143982, 'bbox': [752.900146484375, 230.3965606689453, 854.8645629882812, 520.9531860351562]}, {'class': 'person', 'confidence': 0.5868257880210876, 'bbox': [588.70947265625, 272.3173522949219, 776.5820922851562, 522.2628173828125]}, {'class': 'person', 'confidence': 0.5125867128372192, 'bbox': [663.4808959960938, 233.40916442871094, 787.4047241210938, 517.2244262695312]}, {'class': 'person', 'confidence': 0.4520757496356964, 'bbox': [808.9103393554688, 230.2812042236328, 923.0947265625, 523.4376220703125]}, {'class': 'person', 'confidence': 0.4369908273220062, 'bbox': [589.48095703125, 269.923583984375, 718.4264526367188, 522.1331787109375]}, {'class': 'person', 'confidence': 0.33164823055267334, 'bbox': [755.0569458007812, 230.3983917236328, 920.1503295898438, 520.2927856445312]}, {'class': 'person', 'confidence': 0.3312697410583496, 'bbox': [187.70494079589844, 261.2433166503906, 324.2487487792969, 466.872802734375]}]"
41,CheMed123,data\raw\images\CheMed123\41.jpg,lifestyle,person,1,0.421,"[{'class': 'person', 'confidence': 0.4210352897644043, 'bbox': [262.67724609375, 679.4263916015625, 377.2047424316406, 875.0407104492188]}]"
43,CheMed123,data\raw\images\CheMed123\43.jpg,lifestyle,"person, chair",2,0.8565,"[{'class': 'person', 'confidence': 0.8564761877059937, 'bbox': [181.0282440185547, 2.7625808715820312, 1076.04736328125, 904.2044677734375]}, {'class': 'chair', 'confidence': 0.29364195466041565, 'bbox': [0.3379068374633789, 22.68628692626953, 307.6004638671875, 765.8427124023438]}]"
44,CheMed123,data\raw\images\CheMed123\44.jpg,promotional,"cell phone, person",2,0.9387,"[{'class': 'cell phone', 'confidence': 0.9386716485023499, 'bbox': [487.5592041015625, 57.51190185546875, 880.1859130859375, 545.8300170898438]}, {'class': 'person', 'confidence': 0.8479923009872437, 'bbox': [2.322265625, 159.7030029296875, 879.69189453125, 708.8868408203125]}]"
45,CheMed123,data\raw\images\CheMed123\45.jpg,other,scissors,1,0.632,"[{'class': 'scissors', 'confidence': 0.6319932341575623, 'bbox': [17.53520965576172, 251.6578826904297, 505.399658203125, 664.125]}]"
46,CheMed123,data\raw\images\CheMed123\46.jpg,lifestyle,"person, person, tv",3,0.8272,"[{'class': 'person', 'confidence': 0.8272138833999634, 'bbox': [485.645263671875, 374.0502624511719, 950.44873046875, 899.4799194335938]}, {'class': 'person', 'confidence': 0.47488123178482056, 'bbox': [992.1680908203125, 566.3311157226562, 1033.9658203125, 740.749267578125]}, {'class': 'tv', 'confidence': 0.388637512922287, 'bbox': [598.8029174804688, 67.78385925292969, 1051.3446044921875, 924.3565673828125]}]"
48,CheMed123,data\raw\images\CheMed123\48.jpg,other,,0,0.0,[]
49,CheMed123,data\raw\images\CheMed123\49.jpg,other,"kite, kite, kite, frisbee",4,0.6802,"[{'class': 'kite', 'confidence': 0.6801517605781555, 'bbox': [248.6761474609375, 447.62255859375, 303.6119689941406, 488.8836975097656]}, {'class': 'kite', 'confidence': 0.4033038914203644, 'bbox': [242.48802185058594, 318.331298828125, 307.934326171875, 341.7966003417969]}, {'class': 'kite', 'confidence': 0.34492653608322144, 'bbox': [2.832554340362549, 332.4726257324219, 114.38735961914062, 477.7463073730469]}, {'class': 'frisbee', 'confidence': 0.32522186636924744, 'bbox': [126.43740844726562, 715.5932006835938, 202.5631103515625, 754.5721435546875]}]"
50,CheMed123,data\raw\images\CheMed123\50.jpg,other,cake,1,0.2916,"[{'class': 'cake', 'confidence': 0.2916097939014435, 'bbox': [513.4892578125, 518.3392333984375, 1074.2947998046875, 1034.361328125]}]"
52,CheMed123,data\raw\images\CheMed123\52.jpg,lifestyle,"person, person, horse, person, person, person",6,0.7039,"[{'class': 'person', 'confidence': 0.7039297819137573, 'bbox': [577.4515991210938, 405.6048583984375, 662.486572265625, 505.02423095703125]}, {'class': 'person', 'confidence': 0.6460770964622498, 'bbox': [828.97607421875, 422.8565673828125, 983.4862060546875, 821.4569702148438]}, {'class': 'horse', 'confidence': 0.6252725720405579, 'bbox': [575.519287109375, 417.2179870605469, 795.9912109375, 797.5957641601562]}, {'class': 'person', 'confidence': 0.5130643844604492, 'bbox': [953.3167724609375, 374.2065734863281, 1076.9554443359375, 820.89111328125]}, {'class': 'person', 'confidence': 0.4309829771518707, 'bbox': [573.5446166992188, 381.7247619628906, 615.634765625, 465.8196716308594]}, {'class': 'person', 'confidence': 0.33477717638015747, 'bbox': [573.5570068359375, 381.7664794921875, 614.2238159179688, 501.1988220214844]}]"
53,CheMed123,data\raw\images\CheMed123\53.jpg,lifestyle,person,1,0.5738,"[{'class': 'person', 'confidence': 0.573768675327301, 'bbox': [485.3945617675781, 687.7757568359375, 539.300537109375, 845.6712646484375]}]"
55,CheMed123,data\raw\images\CheMed123\55.jpg,other,stop sign,1,0.3071,"[{'class': 'stop sign', 'confidence': 0.3071289360523224, 'bbox': [807.690185546875, 737.2232666015625, 991.7883911132812, 986.2695922851562]}]"
56,CheMed123,data\raw\images\CheMed123\56.jpg,lifestyle,person,1,0.833,"[{'class': 'person', 'confidence': 0.8329589366912842, 'bbox': [344.2172546386719, 267.6041564941406, 1280.0, 1277.7755126953125]}]"
58,CheMed123,data\raw\images\CheMed123\58.jpg,product_display,bottle,1,0.4115,"[{'class': 'bottle', 'confidence': 0.41152605414390564, 'bbox': [384.7237548828125, 354.9759521484375, 547.2579345703125, 646.4722290039062]}]"
59,CheMed123,data\raw\images\CheMed123\59.jpg,product_display,bottle,1,0.2866,"[{'class': 'bottle', 'confidence': 0.2866169214248657, 'bbox': [49.023963928222656, 188.97332763671875, 457.7779846191406, 887.6339721679688]}]"
60,CheMed123,data\raw\images\CheMed123\60.jpg,other,,0,0.0,[]
62,CheMed123,data\raw\images\CheMed123\62.jpg,other,,0,0.0,[]
64,CheMed123,data\raw\images\CheMed123\64.jpg,lifestyle,"person, person, banana, remote",4,0.6865,"[{'class': 'person', 'confidence': 0.6864551305770874, 'bbox': [0.0, 576.7913818359375, 529.49267578125, 1079.6634521484375]}, {'class': 'person', 'confidence': 0.44019317626953125, 'bbox': [0.0, 575.5032958984375, 1038.802734375, 1076.7369384765625]}, {'class': 'banana', 'confidence': 0.28093597292900085, 'bbox': [124.10365295410156, 518.6672973632812, 699.0769653320312, 773.2496948242188]}, {'class': 'remote', 'confidence': 0.25620245933532715, 'bbox': [191.20809936523438, 810.5112915039062, 713.7333374023438, 1080.0]}]"
67,CheMed123,data\raw\images\CheMed123\67.jpg,other,"stop sign, book",2,0.5792,"[{'class': 'stop sign', 'confidence': 0.5792264938354492, 'bbox': [74.1850357055664, 832.4631958007812, 241.32785034179688, 1059.7242431640625]}, {'class': 'book', 'confidence': 0.2841624915599823, 'bbox': [4.356662750244141, 0.0, 1069.0191650390625, 989.1810913085938]}]"
70,CheMed123,data\raw\images\CheMed123\70.jpg,lifestyle,"potted plant, person, book",3,0.9247,"[{'class': 'potted plant', 'confidence': 0.9247003793716431, 'bbox': [474.62786865234375, 529.39599609375, 720.0, 901.24755859375]}, {'class': 'person', 'confidence': 0.8443222045898438, 'bbox': [238.23062133789062, 185.2535858154297, 538.434814453125, 1089.0693359375]}, {'class': 'book', 'confidence': 0.4226498603820801, 'bbox': [0.0, 662.24267578125, 366.9469299316406, 1262.39453125]}]"
71,CheMed123,data\raw\images\CheMed123\71.jpg,lifestyle,"person, person",2,0.8836,"[{'class': 'person', 'confidence': 0.8835617899894714, 'bbox': [166.89781188964844, 330.1937255859375, 408.7783203125, 1076.5853271484375]}, {'class': 'person', 'confidence': 0.8042728900909424, 'bbox': [22.486190795898438, 442.3209533691406, 88.87457275390625, 589.5172119140625]}]"
73,CheMed123,data\raw\images\CheMed123\73.jpg,other,,0,0.0,[]
74,CheMed123,data\raw\images\CheMed123\74.jpg,other,,0,0.0,[]
75,CheMed123,data\raw\images\CheMed123\75.jpg,lifestyle,person,1,0.8353,"[{'class': 'person', 'confidence': 0.8353008031845093, 'bbox': [635.179443359375, 378.71099853515625, 1080.0, 1080.0]}]"
76,CheMed123,data\raw\images\CheMed123\76.jpg,lifestyle,"person, chair, chair",3,0.8694,"[{'class': 'person', 'confidence': 0.8694230914115906, 'bbox': [121.84721374511719, 221.114013671875, 576.2514038085938, 1270.6075439453125]}, {'class': 'chair', 'confidence': 0.2723301351070404, 'bbox': [83.07666015625, 259.889404296875, 645.62939453125, 1226.3690185546875]}, {'class': 'chair', 'confidence': 0.251775324344635, 'bbox': [66.08721923828125, 647.00244140625, 605.32861328125, 1214.69775390625]}]"
77,CheMed123,data\raw\images\CheMed123\77.jpg,product_display,"bottle, bottle, bottle, bottle",4,0.9558,"[{'class': 'bottle', 'confidence': 0.9558240175247192, 'bbox': [82.44929504394531, 275.5103759765625, 334.1483459472656, 841.7777709960938]}, {'class': 'bottle', 'confidence': 0.9073091149330139, 'bbox': [536.7312622070312, 325.4211730957031, 767.215087890625, 799.6615600585938]}, {'class': 'bottle', 'confidence': 0.8960535526275635, 'bbox': [760.3779907226562, 353.3272399902344, 943.8693237304688, 777.1832275390625]}, {'class': 'bottle', 'confidence': 0.8936647176742554, 'bbox': [316.67718505859375, 329.4427795410156, 548.5355224609375, 827.1810913085938]}]"
78,CheMed123,data\raw\images\CheMed123\78.jpg,lifestyle,"person, person",2,0.7699,"[{'class': 'person', 'confidence': 0.7698584198951721, 'bbox': [0.8941497802734375, 674.144287109375, 512.532958984375, 1275.930419921875]}, {'class': 'person', 'confidence': 0.35558605194091797, 'bbox': [415.9835205078125, 754.5606689453125, 891.8367919921875, 1131.562255859375]}]"
79,CheMed123,data\raw\images\CheMed123\79.jpg,other,,0,0.0,[]
80,CheMed123,data\raw\images\CheMed123\80.jpg,promotional,"person, bottle, chair",3,0.9279,"[{'class': 'person', 'confidence': 0.9279417395591736, 'bbox': [60.29879379272461, 164.3067626953125, 539.6845092773438, 1012.6633911132812]}, {'class': 'bottle', 'confidence': 0.7433301210403442, 'bbox': [21.481231689453125, 30.023731231689453, 143.09576416015625, 303.62493896484375]}, {'class': 'chair', 'confidence': 0.5636420845985413, 'bbox': [683.871826171875, 478.2539978027344, 718.8048095703125, 599.0213623046875]}]"
81,CheMed123,data\raw\images\CheMed123\81.jpg,product_display,"bottle, bottle, bottle, bottle, bottle",5,0.8818,"[{'class': 'bottle', 'confidence': 0.8817967176437378, 'bbox': [442.1737060546875, 562.4449462890625, 676.9397583007812, 1031.832763671875]}, {'class': 'bottle', 'confidence': 0.8326680064201355, 'bbox': [54.475276947021484, 637.4456787109375, 246.93006896972656, 1004.6473388671875]}, {'class': 'bottle', 'confidence': 0.8216720819473267, 'bbox': [665.3165283203125, 609.9971313476562, 879.6115112304688, 1030.7125244140625]}, {'class': 'bottle', 'confidence': 0.8041242957115173, 'bbox': [237.760498046875, 613.1653442382812, 450.5249938964844, 1022.727783203125]}, {'class': 'bottle', 'confidence': 0.7617479562759399, 'bbox': [873.8508911132812, 633.41357421875, 1036.884033203125, 1001.6636962890625]}]"
82,CheMed123,data\raw\images\CheMed123\82.jpg,product_display,"bottle, bottle, bottle, apple",4,0.8992,"[{'class': 'bottle', 'confidence': 0.8991734981536865, 'bbox': [626.5706787109375, 469.8558044433594, 773.3644409179688, 768.5934448242188]}, {'class': 'bottle', 'confidence': 0.842499315738678, 'bbox': [451.5312805175781, 413.9523010253906, 634.871826171875, 770.5623168945312]}, {'class': 'bottle', 'confidence': 0.7403752207756042, 'bbox': [298.9355163574219, 468.935791015625, 457.7554931640625, 768.52783203125]}, {'class': 'apple', 'confidence': 0.4784528315067291, 'bbox': [790.0106811523438, 930.9149780273438, 892.404541015625, 1033.550048828125]}]"
85,CheMed123,data\raw\images\CheMed123\85.jpg,other,,0,0.0,[]
86,CheMed123,data\raw\images\CheMed123\86.jpg,lifestyle,"person, refrigerator",2,0.9013,"[{'class': 'person', 'confidence': 0.9013166427612305, 'bbox': [0.09990692138671875, 235.470703125, 643.8074340820312, 1063.6739501953125]}, {'class': 'refrigerator', 'confidence': 0.3570435643196106, 'bbox': [260.7323303222656, 123.13538360595703, 1076.384521484375, 1061.14501953125]}]"
87,CheMed123,data\raw\images\CheMed123\87.jpg,other,parking meter,1,0.2786,"[{'class': 'parking meter', 'confidence': 0.2785610556602478, 'bbox': [644.1796264648438, 315.83740234375, 994.8895874023438, 996.8314819335938]}]"
88,CheMed123,data\raw\images\CheMed123\88.jpg,other,,0,0.0,[]
89,CheMed123,data\raw\images\CheMed123\89.jpg,other,,0,0.0,[]
9,CheMed123,data\raw\images\CheMed123\9.jpg,product_display,bottle,1,0.3872,"[{'class': 'bottle', 'confidence': 0.38718315958976746, 'bbox': [384.7618713378906, 355.11126708984375, 547.1652221679688, 647.0660400390625]}]"
90,CheMed123,data\raw\images\CheMed123\90.jpg,other,book,1,0.3078,"[{'class': 'book', 'confidence': 0.30780065059661865, 'bbox': [54.07358932495117, 391.27947998046875, 644.1131591796875, 927.4033813476562]}]"
91,CheMed123,data\raw\images\CheMed123\91.jpg,other,,0,0.0,[]
92,CheMed123,data\raw\images\CheMed123\92.jpg,other,,0,0.0,[]
93,CheMed123,data\raw\images\CheMed123\93.jpg,lifestyle,person,1,0.9077,"[{'class': 'person', 'confidence': 0.9076734185218811, 'bbox': [7.752725601196289, 267.64862060546875, 608.3387451171875, 1078.6270751953125]}]"
94,CheMed123,data\raw\images\CheMed123\94.jpg,promotional,"cup, person, cup",3,0.7409,"[{'class': 'cup', 'confidence': 0.7408690452575684, 'bbox': [862.4884033203125, 554.152587890625, 1009.9879150390625, 828.8713989257812]}, {'class': 'person', 'confidence': 0.475845068693161, 'bbox': [0.057549476623535156, 626.4241943359375, 392.9208984375, 866.924072265625]}, {'class': 'cup', 'confidence': 0.3855975270271301, 'bbox': [705.7948608398438, 550.2381591796875, 854.4796142578125, 827.2327270507812]}]"
95,CheMed123,data\raw\images\CheMed123\95.jpg,lifestyle,"person, person",2,0.8684,"[{'class': 'person', 'confidence': 0.8684405088424683, 'bbox': [8.442237854003906, 258.6382141113281, 704.3472290039062, 1077.8212890625]}, {'class': 'person', 'confidence': 0.49181684851646423, 'bbox': [5.016563415527344, 76.62479400634766, 1064.9385986328125, 1077.4718017578125]}]"
96,CheMed123,data\raw\images\CheMed123\96.jpg,product_display,cup,1,0.326,"[{'class': 'cup', 'confidence': 0.3260037302970886, 'bbox': [495.1727294921875, 654.26953125, 593.0411376953125, 753.1270751953125]}]"
97,CheMed123,data\raw\images\CheMed123\97.jpg,other,,0,0.0,[]
22806,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\22806.jpg,product_display,"cup, book",2,0.2695,"[{'class': 'cup', 'confidence': 0.269523561000824, 'bbox': [208.32386779785156, 199.06948852539062, 680.6341552734375, 963.3946533203125]}, {'class': 'book', 'confidence': 0.2602480947971344, 'bbox': [194.9959716796875, 18.444625854492188, 246.24313354492188, 121.50985717773438]}]"
